Iter  GoF  Param1  Param2  Param3  Param4  Param5  Param6  Param7  Param8  Param9  Param10  
30   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
31   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
32   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
33   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
34   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
35   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
36   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
37   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
38   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
39   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
40   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
41   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
42   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
